Transcript_ID	SRR32060276	SRR32060306	SRR32060309	SRR32060312	SRR32060326	SRR32060336	SRR32060341	SRR32060215	SRR32060216	SRR32060234	SRR32060240
ENST00000651555.1	70.4536	60.2593	374.18	189.021	48.1038	62.9177	61.9237	20.9363	65.9317	155.423	6.66184
ENST00000651561.1	62.8262	32.3896	168.539	115.699	28.25	46.5753	28.9854	14.1704	17.8976	5.97434	1.3984
ENST00000651565.1	37.4257	0.0	0.0	26.7327	0.0	0.0	0.0	0.0	0.0	5.34653	21.3861
ENST00000651566.2	256.083	61.0621	519.642	723.67	103.38	129.037	107.512	76.9649	137.535	304.981	171.879
ENST00000651580.1	31.0	23.0	62.0	16.0	9.69427	3.0	7.0	7.0	6.0	6.0	0.0
ENST00000651591.1	57.9187	50.1782	0.00603027	121.88	12.656	20.0134	30.2058	14.1867	22.1627	0.0	0.0
ENST00000651602.1	395.505	103.281	1116.87	1321.12	133.226	111.231	124.31	86.7756	129.378	90.5505	443.561
ENST00000651641.1	327.309	271.794	1131.73	855.223	223.622	161.993	235.133	78.5142	172.951	161.173	205.756
ENST00000651642.1	11.0127	70.4773	40.2536	0.0	7.68887	10.0466	3.61336	12.3225	15.508	62.2059	63.0199
ENST00000651655.1	194.812	97.4058	876.652	0.0	0.0	145.731	0.0	32.4686	0.0	32.4686	0.0
ENST00000651669.1	1763.05	1582.74	9672.57	1972.09	310.0	1223.35	219.0	970.196	223.296	17286.8	18872.7
ENST00000651676.1	20.6893	1.43996	12.3354	35.2435	0.0	3.37322	11.6365	1.41738	0.0	18.3811	0.0
ENST00000651692.1	71.4098	23.1323	77.8905	37.6799	17.1216	12.3144	11.3218	1.7656	10.16	75.0	56.0
ENST00000651701.1	48.2743	65.2821	83.178	42.7339	13.9355	29.0727	0.663409	21.6732	29.2016	0.0	1.0
ENST00000651718.1	84.7779	80.141	369.782	364.832	57.5706	60.8168	75.3421	31.6362	53.3623	36.7323	12.2296
ENST00000651721.2	56.0254	58.0682	224.215	48.5926	21.1949	21.9549	26.4269	24.2283	17.2688	21.9928	89.6753
ENST00000651731.1	28.5977	7.28713	73.0868	15.6651	2.19554	5.63684	12.7135	1.61798	5.67833	6.78932	0.0
ENST00000651747.1	8.0	7.0	61.0	65.0	11.0	7.0	4.0	3.0	27.0	7.0	0.0
ENST00000651748.1	39.8642	10.1237	124.271	140.851	9.80223	24.5283	35.7089	0.0	26.3932	0.0	441.714
ENST00000651750.1	3.59375	44.9062	0.0	0.0	8.91655	0.0	0.0	1.61882	21.2187	0.0	50.0
ENST00000651759.1	44.0786	23.1472	166.254	252.09	19.5252	28.8611	32.1715	36.6272	43.7545	31.85	5.44865
ENST00000651760.1	16.0798	30.2674	134.325	71.6967	8.01124	17.2705	18.7506	7.26404	16.1176	0.0	0.0
ENST00000651761.1	30.4175	0.709604	248.625	0.787344	10.161	4.98526	8.95419	1.13805	16.1903	3.83847	278.0
ENST00000651766.1	248.111	135.545	306.98	17.2592	53.271	39.3731	62.7382	14.982	46.8844	0.0	6.97091
ENST00000651779.1	49.3312	60.1215	263.684	214.456	30.3952	44.7067	27.7495	40.0824	6.16647	238.936	0.0
ENST00000651817.1	23.3002	58.7689	411.469	127.499	29.7383	42.7063	50.3804	18.4206	41.8521	51.3143	71.6083
ENST00000651828.2	88.8988	17.5716	108.134	185.235	58.3243	46.413	18.6939	24.8462	4.1146	18.0238	19.9664
ENST00000651841.1	16.356	14.321	42.331	75.2841	14.0	10.7355	12.1152	5.0	11.6271	29.6087	0.0
ENST00000651856.1	57.4058	56.0134	217.424	88.9654	35.928	25.9217	49.9095	20.6831	40.1279	2.57393	1.42228
ENST00000651862.1	504.0	338.0	1088.63	705.0	92.0	74.0	76.0	74.0	155.0	303.0	980.0
ENST00000651864.1	74.3445	72.0	246.626	223.131	37.1963	39.6402	46.531	13.0879	27.0	70.842	47.0
ENST00000651865.1	81.8323	51.2181	60.1747	84.9942	19.1867	20.9421	15.3412	21.8973	26.3425	0.0	137.902
ENST00000651873.1	45.787	25.4565	108.092	138.694	11.9282	27.6774	14.7114	36.9148	17.7159	5.41629	0.0
ENST00000651911.2	1.9261e-06	5.49337e-08	2.86418e-07	1.24987e-06	1.64772e-06	0.0	63.0287	60.2075	2.36845e-06	1.08819e-05	1207.0
ENST00000651915.1	0.0	0.0	0.868986	752.535	0.0	0.0	0.0	0.0	0.0	146.987	133.594
ENST00000651918.1	74.4705	82.7344	429.912	231.135	42.4379	37.9583	29.9465	6.07281	9.76599	77.9163	0.0
ENST00000651921.1	43.3775	40.1556	67.1683	136.183	16.3811	16.5909	37.6022	28.164	25.4607	0.0	0.0
ENST00000651925.1	151.994	116.434	507.646	203.065	53.3325	67.889	90.2665	66.6134	122.819	165.054	153.085
ENST00000651937.1	81.6484	43.5046	100.647	122.166	14.7004	41.0853	40.0854	23.5386	28.172	267.841	146.98
ENST00000651943.2	126.264	54.4116	215.893	155.685	18.4346	51.4714	48.4883	7.66759e-05	47.6589	11.325	0.0
ENST00000651952.1	340.79	230.339	1090.13	836.72	124.965	108.647	98.574	147.692	108.948	360.44	330.291
ENST00000651955.1	28.1962	60.3738	141.278	270.426	25.9029	25.9031	25.3808	25.0116	11.4865	14.6147	122.232
ENST00000651981.1	34.3137	44.4329	18.8365	47.9605	21.9658	10.7436	6.8968	16.5417	5.05127	58.6732	4.19065
ENST00000651989.2	356.284	180.086	1012.33	992.925	127.013	140.653	153.867	81.01	111.367	318.127	78.736
ENST00000652001.1	63.8033	0.0	0.0	0.0	0.0	0.0	0.0	19.2166	0.0	44.2977	55.5486
ENST00000652021.1	0.036769	4.6943	0.109122	464.559	0.0	8.75357	0.0	0.0	42.3052	283.332	171.492
ENST00000652033.1	0.0	0.0	95.8416	0.0	8.52341	14.8068	0.0	11.9444	14.1344	0.0	0.0
ENST00000652051.1	56.6312	73.2237	217.63	142.16	18.3795	29.0709	16.9229	32.6402	33.7214	47.462	5.32052
ENST00000652102.1	14.0331	4.03944	74.8161	77.5654	4.33884	0.0	7.38002	8.66642	11.7752	1.0	61.4777
ENST00000652107.1	416.582	405.795	2145.58	684.203	214.888	250.12	168.415	122.45	170.715	732.449	501.553
ENST00000652108.2	39.1534	33.5851	76.6509	135.115	6.13211	20.6068	28.829	20.9705	21.3562	22.8221	1.91414
ENST00000652110.1	22.5743	0.0	29.8907	121.267	23.8899	14.0082	0.0	0.0	0.0	27.6535	49.6139
ENST00000652135.1	7.59351	22.0	7.0	48.0805	2.0	0.0	1.0	3.0	9.30485	39.0	0.0
ENST00000652167.2	6.9298	0.0	5.16657	15.7416	2.56266	10.5112	8.48412	10.0506	3.79279	45.1074	1.3852
ENST00000652175.2	42.5859	0.0	85.3609	47.8753	6.4659	17.1012	21.6743	4.94925	9.79726	0.0	5.16925
ENST00000652179.1	2.43568	22.7045	69.2522	28.9303	24.9962	11.8211	14.5622	0.0	7.64132	150.656	0.0
ENST00000652180.1	60.6281	61.4801	305.017	258.614	21.9865	23.9888	55.1446	24.8531	35.3271	111.075	7.85075
ENST00000652181.3	11.6732	87.8977	151.938	79.107	13.3374	17.5143	23.2651	13.7105	12.6002	2.51491	78.5469
ENST00000652191.1	115.95	147.343	1007.64	733.145	163.658	105.89	153.217	92.214	146.336	551.62	404.086
